GaugeID,Start Date,End Date,Peak Flood Level (m),Peak FL Date,Num Peak FL,Peak Discharge Q (cumec),Peak Discharge Date,Flood Volume (cumec),Event Duration (days),Time to Peak (days),Recession Time (day),Flood Type
INDOFLOODS-gauge-1003-1,2001-07-15,2001-07-21,293.88000489999996,2001-07-17,1,,,,7,3,5,Flood
INDOFLOODS-gauge-1003-2,2001-07-23,2001-07-31,293.85000610000003,2001-07-30,1,,,,9,8,2,Flood
INDOFLOODS-gauge-1003-3,2001-08-14,2001-08-15,293.61999510000004,2001-08-14,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1003-4,2002-08-11,2002-08-12,293.55999760000003,2002-08-11,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1003-5,2002-08-15,2002-08-15,293.2999878,2002-08-15,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1003-6,2002-09-12,2002-09-14,294.5499878,2002-09-13,1,,,,3,2,2,Severe Flood
INDOFLOODS-gauge-1003-7,2003-08-08,2003-08-10,293.89999389999997,2003-08-09,1,,,,3,2,2,Flood
INDOFLOODS-gauge-1003-8,2003-08-27,2003-08-27,293.14999389999997,2003-08-27,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1003-9,2003-09-03,2003-09-03,293.0499878,2003-09-03,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1003-10,2004-07-30,2004-08-01,293.94000239999997,2004-07-31,1,,,,3,2,2,Flood
INDOFLOODS-gauge-1003-11,2004-08-09,2004-08-11,293.92001339999996,2004-08-11,1,,,,3,3,1,Flood
INDOFLOODS-gauge-1003-12,2004-08-14,2004-08-15,293.0299988,2004-08-14,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1003-13,2004-08-19,2004-08-19,293.11999510000004,2004-08-19,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1003-14,2005-07-06,2005-07-06,293.5400085,2005-07-06,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1003-15,2005-07-16,2005-07-21,293.39999389999997,2005-07-19,1,,,,6,4,3,Flood
INDOFLOODS-gauge-1003-16,2005-07-27,2005-08-07,293.64001460000003,2005-08-06,1,,,,12,11,2,Flood
INDOFLOODS-gauge-1003-17,2005-09-18,2005-09-18,293.0499878,2005-09-18,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1003-18,2005-09-25,2005-09-27,294.5499878,2005-09-25,1,,,,3,1,3,Severe Flood
INDOFLOODS-gauge-1003-19,2008-08-17,2008-08-17,293.14999389999997,2008-08-17,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1003-20,2010-07-31,2010-08-01,293.2999878,2010-07-31,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1003-21,2010-08-19,2010-08-19,293.60000610000003,2010-08-19,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1003-22,2010-08-21,2010-08-26,293.89999389999997,2010-08-22,1,,,,6,2,5,Flood
